at_risk_market,connected_shocked_markets,max_correlation,propagation_risk_score,estimated_days_until_shock,warning
Mumbai,7,0.926,648.2,1,⚠️ SELL NOW
Puwaha,7,0.922,645.4,1,⚠️ SELL NOW
Khair,7,0.921,644.7,1,⚠️ SELL NOW
Khatra,7,0.919,643.3,1,⚠️ SELL NOW
Mangal Wedha,7,0.916,641.2,1,⚠️ SELL NOW
Manawar,7,0.9,630.0,1,⚠️ SELL NOW
Siwan,7,0.895,626.5,1,⚠️ SELL NOW
Thanesar,7,0.895,626.5,1,⚠️ SELL NOW
Ladwa,7,0.869,608.3,1,⚠️ SELL NOW
Mukerian,7,0.865,605.5,1,⚠️ SELL NOW
Khanna,7,0.856,599.2,1,⚠️ SELL NOW
Kendrapara(Marshaghai),7,0.832,582.4,2,⚠️ SELL NOW
Kanjirappally,6,0.931,558.6,1,⚠️ SELL NOW
Meham,6,0.929,557.4,1,⚠️ SELL NOW
Narwal Jammu (F&V),6,0.912,547.2,1,⚠️ SELL NOW
Pune(Manjri),6,0.904,542.4,1,⚠️ SELL NOW
Shahabad,6,0.9,540.0,1,⚠️ SELL NOW
Ratnagiri (Nachane),6,0.899,539.4,1,⚠️ SELL NOW
Saharpada,6,0.889,533.4,1,⚠️ SELL NOW
Kayamkulam,6,0.869,521.4,1,⚠️ SELL NOW
Hasanpur,7,0.72,504.0,3,⚠️ SELL NOW
Palwal,5,0.926,463.0,1,⚠️ SELL NOW
Sultanpur,5,0.922,461.0,1,⚠️ SELL NOW
Narsinghgarh,5,0.901,450.5,1,⚠️ SELL NOW
Una,5,0.888,444.0,1,⚠️ SELL NOW
Sonepat(Kharkhoda),5,0.876,438.0,1,⚠️ SELL NOW
Kathua,5,0.871,435.5,1,⚠️ SELL NOW
Radaur,5,0.871,435.5,1,⚠️ SELL NOW
Patran,5,0.868,434.0,1,⚠️ SELL NOW
Sambhal,5,0.862,431.0,1,⚠️ SELL NOW
Sirsaganj,4,0.922,368.8,1,⚠️ SELL NOW
Surat,4,0.921,368.4,1,⚠️ SELL NOW
Satara,4,0.914,365.6,1,⚠️ SELL NOW
Vadhvan,4,0.911,364.4,1,⚠️ SELL NOW
Purulia,4,0.903,361.2,1,⚠️ SELL NOW
Vadgaonpeth,4,0.9,360.0,1,⚠️ SELL NOW
Ramtek,4,0.899,359.6,1,⚠️ SELL NOW
Vai,4,0.897,358.8,1,⚠️ SELL NOW
Kullu,4,0.89,356.0,1,⚠️ SELL NOW
Pune,4,0.888,355.2,1,⚠️ SELL NOW
Thodupuzha,4,0.888,355.2,1,⚠️ SELL NOW
Pune(Moshi),4,0.885,354.0,1,⚠️ SELL NOW
Keonjhar(Dhekikote),4,0.884,353.6,1,⚠️ SELL NOW
Keonjhar,4,0.878,351.2,1,⚠️ SELL NOW
Srinivasapur,4,0.869,347.6,1,⚠️ SELL NOW
Navapur,4,0.868,347.2,1,⚠️ SELL NOW
Tarori,4,0.861,344.4,1,⚠️ SELL NOW
Rohtak,4,0.859,343.6,1,⚠️ SELL NOW
Kollam,4,0.859,343.6,1,⚠️ SELL NOW
Kottarakkara,4,0.858,343.2,1,⚠️ SELL NOW
Shillong,4,0.857,342.8,1,⚠️ SELL NOW
Rayagada,4,0.855,342.0,1,⚠️ SELL NOW
Rajpura,4,0.85,340.0,2,⚠️ SELL NOW
Kosli,4,0.847,338.8,2,⚠️ SELL NOW
Khaga,4,0.832,332.8,2,⚠️ SELL NOW
Mandsaur(F&V),4,0.826,330.4,2,⚠️ SELL NOW
Rawatsar,4,0.788,315.2,2,⚠️ SELL NOW
Naraingarh,3,0.881,264.3,1,⚠️ SELL NOW
Karad,3,0.87,261.0,1,⚠️ SELL NOW
Parassala,3,0.868,260.4,1,⚠️ SELL NOW
Vandiperiyar,3,0.866,259.8,1,⚠️ SELL NOW
Rajgarh,3,0.864,259.2,1,⚠️ SELL NOW
Narwana,3,0.855,256.5,1,⚠️ SELL NOW
Sikarpur,3,0.849,254.7,2,⚠️ SELL NOW
Sangamner,3,0.847,254.1,2,⚠️ SELL NOW
Ratia,3,0.844,253.2,2,⚠️ SELL NOW
Sadhaura,3,0.841,252.3,2,⚠️ SELL NOW
Shimla,3,0.832,249.6,2,⚠️ SELL NOW
Khed(Chakan),3,0.828,248.4,2,⚠️ SELL NOW
Kukshi,3,0.824,247.2,2,⚠️ SELL NOW
Panvel,3,0.822,246.6,2,⚠️ SELL NOW
Islampur,3,0.803,240.9,2,⚠️ SELL NOW
Pampady,3,0.791,237.3,2,⚠️ SELL NOW
Mansa(Manas Veg Yard),3,0.741,222.3,3,⚠️ SELL NOW
Seoni,2,0.828,165.6,2,⚠️ SELL NOW
Shahzadpur,2,0.824,164.8,2,⚠️ SELL NOW
Tohana(New Veg Market),2,0.821,164.2,2,⚠️ SELL NOW
Nabha,2,0.82,164.0,2,⚠️ SELL NOW
Vamanapuram,2,0.813,162.6,2,⚠️ SELL NOW
Shahdara,2,0.801,160.2,2,⚠️ SELL NOW
Thandla,2,0.772,154.4,2,⚠️ SELL NOW
Machhiwara,2,0.768,153.6,2,⚠️ SELL NOW
Rahata,1,0.807,80.7,2,⚠️ SELL NOW
Mhow,1,0.788,78.8,2,⚠️ SELL NOW
Kendrapara,1,0.782,78.2,2,⚠️ SELL NOW
Shimla and Kinnaur(Rampur),1,0.77,77.0,2,⚠️ SELL NOW
Timarni,1,0.763,76.3,2,⚠️ SELL NOW
Sanawad,1,0.753,75.3,2,⚠️ SELL NOW
Khargone,1,0.716,71.6,3,⚠️ SELL NOW
Samalkha,1,0.669,66.9,3,⚠️ SELL NOW
Shrirampur,1,0.53,53.0,5,⚠️ SELL NOW
