market,current_price,average_price,price_change_%,shock_level
Bharthna,1600.0,1327.14,20.56,🟢 STABLE
Angul(Atthamallick),2500.0,2071.43,20.69,🟢 STABLE
Karad,10000.0,8285.71,20.69,🟢 STABLE
Santoshgarh,10000.0,8285.71,20.69,🟢 STABLE
Indore(F&V),1000.0,828.57,20.69,🟢 STABLE
Birbhum,4960.0,4108.57,20.72,🟢 STABLE
Sikarpur,8800.0,7285.71,20.78,🟢 STABLE
Meham,7000.0,5785.71,20.99,🟢 STABLE
Ahmedabad,2100.0,1735.71,20.99,🟢 STABLE
Vandiperiyar,3960.0,3264.0,21.32,🟢 STABLE
Kendrapara,15000.0,12357.14,21.39,🟢 STABLE
Khed(Chakan),9000.0,7414.29,21.39,🟢 STABLE
Warangal,6750.0,5557.14,21.47,🟢 STABLE
Rahata,6700.0,5514.29,21.5,🟢 STABLE
Ladwa,7500.0,6142.86,22.09,🟢 STABLE
Athirampuzha,2900.0,2371.43,22.29,🟢 STABLE
Patan,3500.0,2857.14,22.5,🟢 STABLE
Ballia,1630.0,1328.57,22.69,🟢 STABLE
Pataudi,8500.0,6914.29,22.93,🟢 STABLE
Bareilly,1500.0,1217.86,23.17,🟢 STABLE
Kullu,9000.0,7285.71,23.53,🟢 STABLE
Baghapurana,2000.0,1614.29,23.89,🟢 STABLE
Porbandar,12500.0,10071.43,24.11,🟢 STABLE
"Kalol(Veg,Market,Kalol)",7000.0,5607.14,24.84,🟢 STABLE
Samana,4500.0,3600.0,25.0,🟢 STABLE
Shahaswan,1500.0,1200.0,25.0,🟢 STABLE
Chirgaon,1750.0,1395.71,25.38,🟢 STABLE
Narwal Jammu (F&V),11000.0,8750.0,25.71,🟢 STABLE
Bandrol,1600.0,1271.43,25.84,🟢 STABLE
Thanesar,12000.0,9528.57,25.94,🟢 STABLE
Ch. Dadri,2250.0,1778.57,26.51,🟢 STABLE
Munnar,13000.0,10214.29,27.27,🟢 STABLE
Bharwari,1650.0,1296.43,27.27,🟢 STABLE
Allahabad,1600.0,1255.71,27.42,🟢 STABLE
Chandausi,1500.0,1172.14,27.97,🟢 STABLE
Ashahipora (Anantnagh),2800.0,2178.57,28.52,🟢 STABLE
"New Grain Market(main), Karnal",9000.0,7000.0,28.57,🟢 STABLE
Pampady,14200.0,11042.86,28.59,🟢 STABLE
Ellanabad,12500.0,9714.29,28.68,🟢 STABLE
Thodupuzha,14000.0,10857.14,28.95,🟢 STABLE
Bhanjanagar,2100.0,1628.57,28.95,🟢 STABLE
"Anand(Veg,Yard,Anand)",1800.0,1392.86,29.23,🟢 STABLE
Hamirpur,2900.0,2235.71,29.71,🟢 STABLE
Pundri,10250.0,7900.0,29.75,🟢 STABLE
Rajgarh,8000.0,6142.86,30.23,🟢 STABLE
Chakdah,3800.0,2900.0,31.03,🟢 STABLE
Champadanga,3800.0,2900.0,31.03,🟢 STABLE
Bharuasumerpur,1820.0,1384.29,31.48,🟢 STABLE
Damoh(F&V),1600.0,1214.29,31.76,🟢 STABLE
Kukshi,8000.0,6057.14,32.08,🟢 STABLE
Dibiapur,1800.0,1357.14,32.63,🟢 STABLE
Bagepalli,1350.0,1016.43,32.82,🟢 STABLE
Aluva,3000.0,2257.14,32.91,🟢 STABLE
Miryalguda(Rythu Bazar),7500.0,5628.57,33.25,🟢 STABLE
Suratgarh,12500.0,9357.14,33.59,🟢 STABLE
Hanmarkonda(Rythu Bazar),2500.0,1871.43,33.59,🟢 STABLE
Rajnandgaon,7000.0,5214.29,34.25,🟢 STABLE
Narwana,12000.0,8928.57,34.4,🟢 STABLE
Bhiwani,2890.0,2148.57,34.51,🟢 STABLE
Chitwadagaon,1590.0,1170.0,35.9,🟢 STABLE
Mukerian(Talwara),10000.0,7357.14,35.92,🟢 STABLE
Kesinga,20500.0,15071.43,36.02,🟢 STABLE
Dhanotu (Mandi),2300.0,1685.71,36.44,🟢 STABLE
Patran,8000.0,5837.14,37.05,🟢 STABLE
Arasikere,1000.0,728.57,37.25,🟢 STABLE
Durgapur,3600.0,2621.43,37.33,🟢 STABLE
Shimla and Kinnaur(Rampur),15200.0,10985.71,38.36,🟢 STABLE
Ahmednagar,1000.0,721.43,38.61,🟢 STABLE
Mansa(Manas Veg Yard),10500.0,7507.14,39.87,🟢 STABLE
Bhuntar,2500.0,1785.71,40.0,🟢 STABLE
Ludhiana,2000.0,1428.57,40.0,🟢 STABLE
Jaitu,2000.0,1428.57,40.0,🟢 STABLE
Barnala,2150.0,1528.57,40.65,🟢 STABLE
Tuensang,9800.0,6928.57,41.44,🟢 STABLE
Kathua,12750.0,9000.0,41.67,🟢 STABLE
Moovattupuzha,10500.0,7400.0,41.89,🟢 STABLE
Thirurrangadi,6500.0,4557.14,42.63,🟢 STABLE
Shimla,9200.0,6442.86,42.79,🟢 STABLE
Thalayolaparambu,9900.0,6928.57,42.89,🟢 STABLE
Koraput,8000.0,5571.43,43.59,🟢 STABLE
Dhupguri,3000.0,2085.71,43.84,🟢 STABLE
Balarampur,3000.0,2057.14,45.83,🟢 STABLE
Shimla and Kinnaur(Nerwa),5000.0,3428.57,45.83,🟢 STABLE
Ambala Cantt.,1800.0,1228.57,46.51,🟢 STABLE
Ghoti,1700.0,1157.14,46.91,🟢 STABLE
Bilaspur,2500.0,1700.0,47.06,🟢 STABLE
Hodal,8000.0,5428.57,47.37,🟢 STABLE
Churu,2000.0,1357.14,47.37,🟢 STABLE
Bilimora,1200.0,814.29,47.37,🟢 STABLE
Purulia,12000.0,8128.57,47.63,🟢 STABLE
Kosli,15000.0,10142.86,47.89,🟢 STABLE
Bhawanigarh,2000.0,1350.0,48.15,🟢 STABLE
Bhadara,2369.0,1597.43,48.3,🟢 STABLE
Attabira,3500.0,2357.14,48.48,🟢 STABLE
Khargone,2500.0,1671.43,49.57,🟢 STABLE
Phillaur(Apra Mandi),2500.0,1642.86,52.17,🟢 STABLE
Madanganj Kishangarh,7500.0,4928.57,52.17,🟢 STABLE
Biaora,2500.0,1642.86,52.17,🟢 STABLE
Longleng,9700.0,6342.86,52.93,🟢 STABLE
Dahod(Veg. Market),2000.0,1300.0,53.85,🟢 STABLE
L B Nagar,5400.0,3500.0,54.29,🟢 STABLE
Moga,11500.0,7400.0,55.41,🟢 STABLE
Sadhaura,8500.0,5400.0,57.41,🟢 STABLE
Shahzadpur,7000.0,4428.57,58.06,🟢 STABLE
Karimnagar,9000.0,5642.86,59.49,🟢 STABLE
Sahnewal,10400.0,6442.86,61.42,🟢 STABLE
Mhow,12000.0,7428.57,61.54,🟢 STABLE
Chittorgarh,1900.0,1157.14,64.2,🟢 STABLE
Gudimalkapur,1600.0,971.43,64.71,🟢 STABLE
Abu Road,1500.0,900.0,66.67,🟢 STABLE
Channapatana,2250.0,1292.86,74.03,🟢 STABLE
Shivpuri(F&V),2000.0,1142.86,75.0,🟢 STABLE
Faridkot,9000.0,5100.0,76.47,🟢 STABLE
Multai,6000.0,3314.29,81.03,🟢 STABLE
Pune(Pimpri),8000.0,4321.43,85.12,🟢 STABLE
Jangipura,8070.0,4287.14,88.24,🟢 STABLE
Mehatpur,5000.0,2500.0,100.0,🟢 STABLE
Parappanangadi,8500.0,4242.86,100.34,🟢 STABLE
Dhar(F&V),2500.0,1242.86,101.15,🟢 STABLE
Barhaj,7900.0,3908.57,102.12,🟢 STABLE
Tilhar,6525.0,3028.57,115.45,🟢 STABLE
Raipur Rai,4500.0,2085.71,115.75,🟢 STABLE
Malerkotla,3500.0,1571.43,122.73,🟢 STABLE
Sanwer,11500.0,4735.71,142.84,🟢 STABLE
Samalkha,15000.0,5571.43,169.23,🟢 STABLE
Syopurkalan(F&V),8000.0,1792.86,346.22,🟢 STABLE
